"HSCODE	DESC",,,,,,,,,
"2101111000	EXTRACTS ESSENCES AND CONCENTRATES OF COFFEE COFFEE COFFEES MONCAFE 12P3",,,,,,,,,
"2101111000	INSTANT COFFEE MICKEY MOUSE COFFEE TIME 16G MICKEY MOUSE COFFEE TIME 16G",,,,,,,,,
"2101111000	INSTANT COFFEE STARBUCKS KENYA ESPRESSO CAPSULE STARBUCKS GUATEMALA ANTIGUA ESPRESSO CAPSULE",,,,,,,,,
"2101111000	INSTANT COFFEE COFFEE LAUDATIO KAFFEEPADS CLASSIC 16PAD COFFEE JACOBS ESPRESSO STICKS 25 PORTIONEN 4ER PACK 4 X 45 G",,,,,,,,,
"2101111000	INSTANT COFFEE COFFEE TEA AURORA DE LA PAZ COFFEE TEA AURORA DE LA PAZ",,,,,,,,,
"2101111000	()VARIATIONS CONFETTO SNOWBALL ()VARIATIONS CONFETTO SNOWBALL ()CARAMELITO CAPSULE",,,,,,,,,
"2101111000	INSTANT COFFEE PAUL DELIMA COFFEE 1OZ SUPPLY PAUL DELIMA COFFEE 1OZ SUPPLY",,,,,,,,,
"2101111000	INSTANT COFFEE COFFEETEA DREAMYBEAN IRISH DREAM COFFEE COFFEETEA DREAMYBEAN WHITE CHOCOLATE COFFEE",,,,,,,,,
"2101111000	INSTANT COFFEE AGF INSTANT COFFEE BLENDY STICK BIG COCOA ORE AGF INSTANT COFFEE BLENDY STICK BIG CAFFEINLESS",,,,,,,,,
"2101111000	INSTANT COFFEE (TEA AND BEVERAGE)STARBUCKS COFFEE (TEA AND BEVERAGE)GODIVA COFFEE",,,,,,,,,
"2101111000	EXTRACTS ESSENCES AND CONCENTRATES OF COFFEE STUMPTOWN COLD BREW COFFEE HARNEY AND SONS CLASSIC PEPPERMINT HERBAL (20 SACHETS)",,,,,,,,,
"2101111000	INSTANT COFFEE SW ORG HOUSE BLEND DECAF MED ROAST 1 LB SW ORG HOUSE BLEND DECAF MED ROAST 1 LB",,,,,,,,,
"2101111000	INSTANT COFFEE DOLCEGUSTO LUNGO ENTKOFF 16CAPSULE DOLCEGUSTO CAPPUCCINO 16CAPSULE",,,,,,,,,
"2101111000	OTHER ()VARIATIONS CONFETTO 3 SLEEVE ASSORTMENT ()ARPEGGIO CAPSULE",,,,,,,,,
"2101111000	INSTANT COFFEE ASAHI TEA COFFEE CAFELATTE 525ML X 2 ASAHI TEA COFFEE CAFELATTE 525ML X 2",,,,,,,,,
"2101111000	INSTANT COFFEE INSTANT COFFEE G7 COFFEE (CA PHE G7)",,,,,,,,,
"2101111000	EXTRACTS ESSENCES AND CONCENTRATES OF COFFEE SENSEO COFFEE PODS DARK ROAST 18 COUNT SENSEO COFFEE PODS DARK ROAST18 COUNT (PACK OF 6)",,,,,,,,,
"2101111000	INSTANT COFFEE INSTANT COFFEE CHRISTMAS PRESENTCOFFEE",,,,,,,,,
"2101111000	INSTANT COFFEE INSTANT COFFEE COFFEE ESSPRRSSO",,,,,,,,,
