product_name,sales,price,reorder_quantity,stock_level,holding_cost,Production_cost,currency_fluctuation,stockout,timestamp
Water,54,12.87,57,57,4.58,1.7,-1.51,0,30/9/2024
Sauces and Soups,61,3.88,68,140,2.85,2.18,-1.95,0,30/9/2024
Instant Porridge,50,16.62,54,400,3.21,1.45,-0.07,0,30/9/2024
Biscuits,60,7.84,63,17,2.51,3.96,1.42,0,30/9/2024
Water,59,18.48,64,450,4.98,8.8,-1.84,1,29/9/2024
Sauces and Soups,39,13.87,46,53,1.12,5,0.36,0,29/9/2024
Instant Porridge,52,13.71,61,199,3.01,3.91,0.63,0,29/9/2024
Biscuits,59,11,59,308,5,5.96,-0.04,1,29/9/2024
Water,50,2.02,59,111,2.29,9.87,-0.46,0,28/9/2024
Sauces and Soups,43,8.08,50,234,2.18,1.61,0.15,0,28/9/2024
Instant Porridge,54,10.81,59,465,2.86,9.54,1.84,1,28/9/2024
Biscuits,51,14.52,55,97,3.79,1.46,-0.75,0,28/9/2024
Water,52,16.07,60,212,2.81,6.2,1.82,1,27/9/2024
Sauces and Soups,52,10.84,57,78,1.54,9.63,-0.95,0,27/9/2024
Instant Porridge,57,5.06,61,132,1.24,9.33,-0.64,0,27/9/2024
Biscuits,48,7.45,57,228,3.51,4.42,1.84,0,27/9/2024
Water,43,4.63,47,16,1.22,4.49,0.31,1,26/9/2024
Sauces and Soups,50,12.12,50,137,3.9,6.31,0.04,0,26/9/2024
Instant Porridge,43,1.08,52,111,2.39,4.62,-1.01,0,26/9/2024
Biscuits,49,8.93,53,324,2.08,4.19,-1.85,0,26/9/2024
Water,55,1.87,62,301,2.89,8.71,1.79,1,25/9/2024
Sauces and Soups,43,9.43,52,5,2.81,3.39,-1.93,0,25/9/2024
Instant Porridge,39,13.29,47,334,3.66,2.53,0.96,0,25/9/2024
Biscuits,48,12.43,57,245,3.67,3.48,-1.38,0,25/9/2024
Water,41,13.13,49,289,1.76,5.11,1.54,0,24/9/2024
Sauces and Soups,56,19.03,60,135,2.78,2.81,0.49,0,24/9/2024
Instant Porridge,53,1.5,57,125,4.14,3.43,-0.56,1,24/9/2024
Biscuits,58,4.88,64,234,1.96,8.79,1.8,1,24/9/2024
Water,52,12.74,53,409,4.7,7.14,0.13,0,23/9/2024
Sauces and Soups,46,11.34,52,156,3.88,4.29,-0.96,0,23/9/2024
Instant Porridge,50,1.02,59,333,3.65,1.05,-1.26,1,23/9/2024
Biscuits,52,18.27,52,176,2.03,1.46,0.8,0,23/9/2024
Water,55,9.36,63,435,3.39,9.33,0.27,1,22/9/2024
Sauces and Soups,62,17.82,68,134,4.02,6.22,-1.34,1,22/9/2024
Instant Porridge,49,15.15,57,357,4.76,3.81,-1.2,0,22/9/2024
Biscuits,43,5.54,43,437,3.55,9.03,-0.77,0,22/9/2024
Water,55,5.41,57,297,0.5,9.8,-0.63,1,21/9/2024
Sauces and Soups,49,7.73,56,281,1.18,3.09,1.97,1,21/9/2024
Instant Porridge,47,9.83,51,257,2.08,5.6,1.19,1,21/9/2024
Biscuits,38,12.85,47,73,0.55,4.75,1.09,1,21/9/2024
Water,53,6.18,61,26,1.7,4.04,-1.43,0,20/9/2024
Sauces and Soups,49,5.51,57,301,1.07,4.99,0.72,1,20/9/2024
Instant Porridge,46,12.51,49,235,4.52,6.45,-0.68,0,20/9/2024
Biscuits,59,10.25,67,63,3.71,6.81,-1.43,1,20/9/2024
Water,62,3.3,63,234,2.08,1.73,-1.2,1,19/9/2024
Sauces and Soups,39,17.82,40,191,1.21,8.33,0.21,0,19/9/2024
Instant Porridge,59,13.02,59,224,3.26,4.17,-0.96,0,19/9/2024
Biscuits,51,7.9,53,79,4.08,7.03,0.23,0,19/9/2024
Water,69,2.33,76,156,4.56,5.5,-1.61,1,18/9/2024
Sauces and Soups,57,5.21,59,107,4.44,7.48,0.93,0,18/9/2024
