"country","Year","station","yield","log_yield","latitude","longitude","precipitation","DATE","avg_precipitation","anthesis_rainfall","tassling_avg_rainfall","avg_temp"
"Zimbabwe",2021,"Shamva",13.09,2.57184857992181,-17.3,31.55,2037,2021-01-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",13.09,2.57184857992181,-17.3,31.55,1725,2021-02-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",13.09,2.57184857992181,-17.3,31.55,1131,2021-03-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",13.09,2.57184857992181,-17.3,31.55,257,2021-04-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",13.09,2.57184857992181,-17.3,31.55,0,2021-10-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",13.09,2.57184857992181,-17.3,31.55,855,2021-11-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",13.09,2.57184857992181,-17.3,31.55,970,2021-12-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Harare",12.499968,2.52572608430498,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.499968,2.52572608430498,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.499968,2.52572608430498,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.499968,2.52572608430498,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.499968,2.52572608430498,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.499968,2.52572608430498,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.499968,2.52572608430498,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4741566984127,2.52365904002701,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4741566984127,2.52365904002701,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4741566984127,2.52365904002701,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4741566984127,2.52365904002701,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4741566984127,2.52365904002701,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4741566984127,2.52365904002701,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4741566984127,2.52365904002701,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4399908571429,2.5209163523544,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4399908571429,2.5209163523544,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4399908571429,2.5209163523544,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4399908571429,2.5209163523544,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4399908571429,2.5209163523544,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4399908571429,2.5209163523544,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",12.4399908571429,2.5209163523544,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Shamva",12.0226778711485,2.48679468891559,-17.3,31.55,2037,2021-01-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",12.0226778711485,2.48679468891559,-17.3,31.55,1725,2021-02-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",12.0226778711485,2.48679468891559,-17.3,31.55,1131,2021-03-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",12.0226778711485,2.48679468891559,-17.3,31.55,257,2021-04-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",12.0226778711485,2.48679468891559,-17.3,31.55,0,2021-10-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",12.0226778711485,2.48679468891559,-17.3,31.55,855,2021-11-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",12.0226778711485,2.48679468891559,-17.3,31.55,970,2021-12-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Harare",11.8070755555556,2.46869897512153,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.8070755555556,2.46869897512153,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.8070755555556,2.46869897512153,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.8070755555556,2.46869897512153,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.8070755555556,2.46869897512153,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.8070755555556,2.46869897512153,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.8070755555556,2.46869897512153,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.7874631111111,2.46703651846251,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.7874631111111,2.46703651846251,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.7874631111111,2.46703651846251,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.7874631111111,2.46703651846251,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.7874631111111,2.46703651846251,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.7874631111111,2.46703651846251,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.7874631111111,2.46703651846251,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6969081904762,2.45932454965736,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6969081904762,2.45932454965736,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6969081904762,2.45932454965736,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6969081904762,2.45932454965736,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6969081904762,2.45932454965736,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6969081904762,2.45932454965736,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6969081904762,2.45932454965736,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Shamva",11.6490756302521,2.45522683182099,-17.3,31.55,2037,2021-01-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.6490756302521,2.45522683182099,-17.3,31.55,1725,2021-02-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.6490756302521,2.45522683182099,-17.3,31.55,1131,2021-03-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.6490756302521,2.45522683182099,-17.3,31.55,257,2021-04-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.6490756302521,2.45522683182099,-17.3,31.55,0,2021-10-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.6490756302521,2.45522683182099,-17.3,31.55,855,2021-11-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.6490756302521,2.45522683182099,-17.3,31.55,970,2021-12-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Harare",11.6338285714286,2.45391711024407,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6338285714286,2.45391711024407,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6338285714286,2.45391711024407,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6338285714286,2.45391711024407,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6338285714286,2.45391711024407,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6338285714286,2.45391711024407,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.6338285714286,2.45391711024407,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.5791827301587,2.44920889367486,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.5791827301587,2.44920889367486,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.5791827301587,2.44920889367486,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.5791827301587,2.44920889367486,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.5791827301587,2.44920889367486,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.5791827301587,2.44920889367486,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.5791827301587,2.44920889367486,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.4011631746032,2.43371538305538,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.4011631746032,2.43371538305538,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.4011631746032,2.43371538305538,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.4011631746032,2.43371538305538,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.4011631746032,2.43371538305538,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.4011631746032,2.43371538305538,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.4011631746032,2.43371538305538,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.3005714285714,2.42485329333986,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.3005714285714,2.42485329333986,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.3005714285714,2.42485329333986,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.3005714285714,2.42485329333986,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.3005714285714,2.42485329333986,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.3005714285714,2.42485329333986,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.3005714285714,2.42485329333986,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.293053968254,2.42418784364218,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.293053968254,2.42418784364218,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.293053968254,2.42418784364218,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
