"Name","date","rain","Tave","Tmax","Tmin","Year"
"Masvingo",2014-01-01,26.9,20.3,23,18.5,2014
"Masvingo",2014-01-02,0.8,21.6,25.8,17.2,2014
"Masvingo",2014-01-03,0,22.2,NA,18,2014
"Masvingo",2014-01-04,NA,22.3,26.4,NA,2014
"Masvingo",2014-01-05,0,21.9,NA,19.2,2014
"Masvingo",2014-01-06,13,24.6,29.2,19.5,2014
"Masvingo",2014-01-07,0,21,NA,18.5,2014
"Masvingo",2014-01-08,0,20.7,NA,15.6,2014
"Masvingo",2014-01-09,0,21.5,NA,18.4,2014
"Masvingo",2014-01-10,1,25.3,NA,16.2,2014
"Masvingo",2014-01-11,0,24.1,30.5,NA,2014
"Masvingo",2014-01-12,NA,24.8,NA,NA,2014
"Masvingo",2014-01-13,0,23.5,29.4,17.6,2014
"Masvingo",2014-01-14,0,21.8,25,19,2014
"Masvingo",2014-01-15,0.3,21.4,NA,18.1,2014
"Masvingo",2014-01-16,0,19.6,28,13.5,2014
"Masvingo",2014-01-17,NA,22.6,27.5,16.9,2014
"Masvingo",2014-01-18,NA,22.4,28.7,12.4,2014
"Masvingo",2014-01-19,NA,23.5,28,18,2014
"Masvingo",2014-01-20,NA,23.1,28.5,NA,2014
"Masvingo",2014-01-21,NA,23.2,28.3,16.7,2014
"Masvingo",2014-01-22,3,21.2,24.3,19,2014
"Masvingo",2014-01-23,10.9,23.2,28.3,18.4,2014
"Masvingo",2014-01-24,0,23.8,29.5,18.7,2014
"Masvingo",2014-01-25,NA,24.9,29.5,18.5,2014
"Masvingo",2014-01-26,7.9,20.8,23.8,NA,2014
"Masvingo",2014-01-27,15,21.9,27.5,19.1,2014
"Masvingo",2014-01-28,0,20.2,NA,NA,2014
"Masvingo",2014-01-29,59.9,23.9,30,18.5,2014
"Masvingo",2014-01-30,0,24,30.5,20.1,2014
"Masvingo",2014-01-31,19.1,22.8,28,19.8,2014
"Masvingo",2014-02-01,27.9,24.1,28.3,NA,2014
"Masvingo",2014-02-02,0,24.6,29,NA,2014
"Masvingo",2014-02-03,0.5,23.8,29.2,21,2014
"Masvingo",2014-02-04,5.1,20.9,24,18.8,2014
"Masvingo",2014-02-05,0,23.5,31.5,17.5,2014
"Masvingo",2014-02-06,0.5,24.6,31.3,19.9,2014
"Masvingo",2014-02-07,0,21.7,26.8,18.5,2014
"Masvingo",2014-02-08,3,21.8,25.7,19,2014
"Masvingo",2014-02-09,0.5,23,27,20,2014
"Masvingo",2014-02-10,2,22.5,27.5,18,2014
"Masvingo",2014-02-11,0,21.2,27.3,15.5,2014
"Masvingo",2014-02-12,NA,23,27,15,2014
"Masvingo",2014-02-13,NA,21.6,28.1,13.9,2014
"Masvingo",2014-02-14,0.8,23.2,NA,NA,2014
"Masvingo",2014-02-15,0,21.6,25.3,17.5,2014
"Masvingo",2014-02-16,0.5,20.5,24.3,17.4,2014
"Masvingo",2014-02-17,7.9,19.8,23.5,17.4,2014
"Masvingo",2014-02-18,0,20.7,27.9,13.2,2014
"Masvingo",2014-02-19,0,20.4,28,13.8,2014
"Masvingo",2014-02-20,NA,22.8,30.3,NA,2014
"Masvingo",2014-02-21,NA,23.5,32,16.5,2014
"Masvingo",2014-02-22,NA,23.8,28,20.5,2014
"Masvingo",2014-02-23,0.3,20.4,23,19.4,2014
"Masvingo",2014-02-24,23.9,22.3,28.3,18.9,2014
"Masvingo",2014-02-25,0,22.9,29.1,17.8,2014
"Masvingo",2014-02-26,NA,21.6,28.1,16.5,2014
"Masvingo",2014-02-27,0.3,20,NA,NA,2014
"Masvingo",2014-02-28,1,21.8,30,15.5,2014
"Masvingo",2014-03-01,0.8,22.2,NA,18.2,2014
"Masvingo",2014-03-02,2,21.3,29.5,NA,2014
"Masvingo",2014-03-03,53.1,22.3,30,17.3,2014
"Masvingo",2014-03-04,2,23.7,NA,19.3,2014
"Masvingo",2014-03-05,3,25,30.5,18.5,2014
"Masvingo",2014-03-06,0,23.1,29.9,NA,2014
"Masvingo",2014-03-07,1,21.8,29,17.6,2014
"Masvingo",2014-03-08,15,22.8,30,17.5,2014
"Masvingo",2014-03-09,2,22.9,29.7,19,2014
"Masvingo",2014-03-10,0,24.1,NA,18,2014
"Masvingo",2014-03-11,NA,22.6,30,19.4,2014
"Masvingo",2014-03-12,4.1,24.1,31.5,18,2014
"Masvingo",2014-03-13,39.9,19.4,NA,17.5,2014
"Masvingo",2014-03-14,1,17.7,21.1,15.6,2014
"Masvingo",2014-03-15,0,21.8,NA,16.4,2014
"Masvingo",2014-03-16,0,23.6,29.5,16.4,2014
"Masvingo",2014-03-17,NA,23.1,NA,15.4,2014
"Masvingo",2014-03-18,NA,21,28.2,NA,2014
"Masvingo",2014-03-19,NA,22.6,30.5,14.4,2014
"Masvingo",2014-03-20,NA,21.9,30.8,15.5,2014
